Country,Quality Score,SDGi,Life Exectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),footprint_production,footprint_consumption,Total biocapacity ,Ecological (Deficit) or Reserve,num_earths,Number of Countries required,official_overshoot_day,overshoot_day_consumption,difference
Mexico,3A,70.2,70,0.76,"$19,028",North America,UM,131.6,1.993329909,2.285229609,1.202798995,-1.1,1.5,1.9,2024-08-29,2024-08-28,-1.0
Mongolia,3A,63.5,71,0.74,"$11,435",Asia-Pacific,LM,3.4,8.052806492,7.707718406,13.51424822,5.8,5.1,0.6,2024-03-12,2024-03-11,-1.0
Montenegro,3A,68.8,74,0.83,"$21,308",Other Europe,UM,0.6,3.270821588,3.650600238,2.828793864,-0.8,2.4,1.3,2024-05-30,2024-05-30,0.0
Morocco,2A,69,74,0.68,"$7,744",Africa,LM,37.8,1.269581604,1.545268177,0.565398289,-1.0,1.0,2.7,2024-12-22,2024-12-22,0.0
Mozambique,3A,53.6,59,0.45,"$1,232",Africa,LI,33.1,0.625737497,0.771230126,1.385576072,0.6,0.5,0.6,,2025-12-16,
Myanmar,3A,64.3,66,0.59,"$4,090",Asia-Pacific,LI,55.2,1.15677397,1.114220234,1.362234437,0.2,0.7,0.8,,2025-05-10,
Namibia,2A,62.7,59,0.62,"$8,949",Africa,UM,2.6,3.648073098,2.385289244,6.122942025,3.7,1.6,0.4,2024-08-19,2024-08-18,-1.0
Nepal,3A,66.2,68,0.6,"$3,921",Asia-Pacific,LI,30.2,0.666924401,0.900456094,0.390028925,-0.5,0.6,2.3,,2025-09-04,
Netherlands,2B,79.9,81,0.94,"$58,732",EU-27,HI,17.2,3.380169849,6.021977401,1.113508517,-4.9,4.0,5.4,2024-04-01,2024-03-31,-1.0
New Zealand,2B,78.3,82,0.94,"$43,178",Asia-Pacific,HI,4.9,11.27038114,5.426229874,8.447231686,3.0,3.6,0.6,2024-04-11,2024-04-10,-1.0
Nicaragua,3A,67.1,74,0.67,"$6,056",Central America/Caribbean,LM,6.8,1.863352849,1.493572383,2.310417773,0.8,1.0,0.6,,2025-01-04,
Niger,3A,52.2,62,0.4,"$1,229",Africa,LI,26.1,1.269969311,1.350307522,1.074301895,-0.3,0.9,1.3,,2025-02-12,
Nigeria,3A,54.2,53,0.54,"$5,013",Africa,LM,216.7,0.740835736,0.801335315,0.446354238,-0.4,0.5,1.8,,2025-11-19,
Norway,3A,82.3,83,0.96,"$66,643",Other Europe,HI,5.5,8.755241589,5.398733676,6.747554557,1.3,3.6,0.8,2024-04-12,2024-04-11,-1.0
Oman,3A,69.2,73,0.82,"$30,222",Middle East/Central Asia,HI,5.3,7.324896915,7.281467173,1.801254966,-5.5,4.8,4.0,2024-03-16,2024-03-15,-1.0
Pakistan,3A,59.3,66,0.54,"$5,542",Asia-Pacific,LM,229.5,0.700499018,0.729966752,0.361549059,-0.4,0.5,2.0,,2026-01-26,
Panama,3A,64,76,0.81,"$30,907",Central America/Caribbean,UM,4.4,2.333974744,2.319781541,2.627580918,0.3,1.5,0.9,2024-08-25,2024-08-25,0.0
Papua New Guinea,2A,53.6,65,0.56,"$3,682",Asia-Pacific,LM,9.3,1.62915232,1.154842733,2.900181196,1.7,0.8,0.4,,2025-04-22,
Paraguay,2A,67.4,70,0.72,"$12,359",South America,LM,7.3,5.164018976,3.15032926,9.647940739,6.5,2.1,0.3,2024-06-23,2024-06-23,0.0
Peru,3A,71.9,72,0.76,"$12,878",South America,UM,33.7,2.098750411,2.237887783,3.546836383,1.3,1.5,0.6,2024-09-03,2024-09-02,-1.0
Philippines,3A,66.6,69,0.7,"$8,768",Asia-Pacific,LM,112.5,0.943528198,1.179381722,0.402745802,-0.8,0.8,2.9,,2025-04-12,
Poland,3A,80.5,76,0.88,"$35,703",EU-27,HI,37.7,4.543451424,4.648672886,2.016241672,-2.6,3.1,2.3,2024-04-28,2024-04-27,-1.0
Portugal,3A,79.2,81,0.87,"$34,950",EU-27,HI,10.1,2.865368183,3.719395877,1.478047303,-2.2,2.5,2.5,2024-05-28,2024-05-27,-1.0
Qatar,3A,66.8,79,0.86,"$96,605",Middle East/Central Asia,HI,3,13.39453563,13.12633419,1.03899563,-12.1,8.7,12.6,2024-02-11,2024-02-11,0.0
Republic of Moldova,2B,73.9,69,0.77,"$14,320",Other Europe,LM,4,1.98275447,1.522206735,1.009467663,-0.5,1.0,1.5,2024-12-28,2024-12-28,0.0
Republic of North Macedonia,3A,72.3,75,0.77,"$16,896",Other Europe,UM,2.1,2.063780758,2.813592043,1.55133585,-1.3,1.9,1.8,2024-07-14,2024-07-14,0.0
R?union,2B,,,,,Africa,,0.9,1.807713129,3.491316161,0.123645377,-3.4,2.3,28.2,2024-06-06,2024-06-06,0.0
Romania,3A,77.7,73,0.82,"$31,367",EU-27,UM,19,2.939092169,2.737665279,2.450628155,-0.3,1.8,1.1,2024-07-20,2024-07-19,-1.0
Russian Federation,3A,74.1,69,0.82,"$25,706",Other Europe,UM,145.8,7.134923435,5.801171589,7.712083888,1.9,3.8,0.8,2024-04-05,2024-04-04,-1.0
Rwanda,3A,59.4,66,0.53,"$2,405",Africa,LI,13.6,0.464975451,0.55402976,0.243488781,-0.3,0.4,2.3,,2026-09-23,
Saint Lucia,3A,,71,0.72,"$14,140",Central America/Caribbean,UM,0.2,0.874255265,1.711828501,0.376356935,-1.3,1.1,4.5,2024-11-18,2024-11-17,-1.0
